Beverage_category,Beverage,Beverage_cat_short,Size_and_Milk,Calories, Total_Fat_g,Trans_Fat_g ,Sat_Fat_g, Sodium_mg,Carbs_g ,Cholesterol_mg,Sugar_g, Protein_g ,Caffeine_mg
Frappuccino® Light Blended Coffee,Mocha,Mocha,Venti Nonfat Milk,210,1,0.5,0,5,280,46,42,6,130
Frappuccino® Light Blended Coffee,Caramel,Caramel,Tall Nonfat Milk,100,0.1,0,0,0,140,23,23,3,65
Frappuccino® Light Blended Coffee,Caramel,Caramel,Grande Nonfat Milk,150,0.1,0.1,0,0,200,33,32,3,90
Frappuccino® Light Blended Coffee,Caramel,Caramel,Venti Nonfat Milk,200,0.1,0.1,0,5,270,44,43,5,120
Frappuccino® Light Blended Coffee,Java Chip,Java Chip,Tall Nonfat Milk,150,3,2,0,0,170,30,27,4,70
Frappuccino® Light Blended Coffee,Java Chip,Java Chip,Grande Nonfat Milk,220,4,3,0,0,240,43,39,5,105
Frappuccino® Light Blended Coffee,Java Chip,Java Chip,Venti Nonfat Milk,290,5,4,0,5,320,58,52,7,165
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Tall Nonfat Milk,170,0.1,0.1,0,0,140,39,38,3,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Whole Milk,190,3,1.5,0.1,10,140,38,37,3,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Soymilk,170,1.5,0.2,0,0,135,37,35,3,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Grande Nonfat Milk,230,0.2,0.1,0,0,190,53,52,4,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Whole Milk,260,4,2,0.1,10,190,53,52,4,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Soymilk,240,2,0.2,0,0,180,51,49,3,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Venti Nonfat Milk,310,0.2,0.1,0,5,260,70,69,6,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Whole Milk,350,6,3,0.2,15,260,70,68,6,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Strawberry,Soymilk,320,3 2,0.4,0,0,250,67,64,5,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Vanilla Bean,Tall Nonfat Milk,170,0.1,0.1,0,0,160,39,38,4,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Vanilla Bean,Whole Milk,200,3.5,2,0.1,10,160,39,38,3,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Vanilla Bean,Soymilk,180,1.5,0.2,0,0,160,37,35,3,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Vanilla Bean,Grande Nonfat Milk,240,0.1,0.1,0,5,230,56,55,5,0
